Block,District,Ward,Beat,location_id
001XX N State st,1,42,111,38059
002XX W JACKSON BLVD,1,42,122,38060
027XX W 27TH ST,10,12,1034,38061
015XX W 38TH ST,9,11,912,38062
055XX S ASHLAND AVE,7,16,715,38063
006XX N Lake shore Dr,18,42,1834,38064
019XX W 102ND ST,22,19,2213,38065
117XX S BELL AVE,22,19,2212,38066
018XX W Cuyler Ave,19,47,1912,38067
005XX W POLK ST,1,25,124,38068
023XX N KEYSTONE AVE,25,35,2525,38069
043XX W WABANSIA AVE,25,36,2534,38070
026XX N WESTERN AVE,14,32,1411,38071
044XX W DEVON AVE,17,39,1711,38072
061XX S MOZART ST,8,16,823,38073
007XX W 50TH ST,9,20,935,38074
016XX W 35TH ST,9,12,912,38075
002XX S MENARD DR,15,29,1513,38076
064XX S MOZART ST,8,17,823,38077
032XX W 63RD PL,8,23,823,38078
054XX S WOODLAWN AVE,2,5,233,38079
065XX N RAVENSWOOD AVE,24,40,2432,38080
021XX E 83RD ST,4,7,412,38081
011XX W ADAMS ST,12,25,1232,38082
001XX N MOZART ST,12,27,1222,38083
049XX N NORMANDY AVE,16,45,1613,38084
002XX S LOOMIS ST,12,2,1231,38085
043XX N HONORE ST,19,47,1912,38086
052XX W FULLERTON AVE,25,36,2515,38087
018XX E 76TH ST,4,8,414,38088
045XX W HARRISON ST,11,28,1131,38089
021XX W 67TH PL,7,16,726,38090
117XX S ADA ST,5,34,524,38091
054XX N NEENAH AVE,16,45,1613,38092
029XX S TRUMBULL AVE,10,22,1032,38093
013XX W HUBBARD ST,12,1,1215,38094
006XX N SPRINGFIELD AVE,11,37,1122,38095
027XX N RACINE AVE,19,43,1932,38096
005XX W 54TH ST,9,3,935,38097
007XX W MAXWELL ST,12,11,1232,38098
046XX S HONORE ST,9,15,924,38099
028XX W Lunt Ave,24,50,2411,38100
055XX W WARWICK AVE,16,36,1633,38101
026XX W 40TH ST,9,12,921,38102
008XX W 21ST ST,12,25,1235,38103
064XX S CALIFORNIA AVE,8,17,823,38104
045XX S WASHTENAW AVE,9,15,922,38105
056XX W Wellington ave,25,31,2514,38106
0000X W ELM ST,18,2,1824,38107
022XX N California Ave,14,1,1431,38108
011XX E 47th St,2,4,222,38109
060XX N RAVENSWOOD AVE,24,40,2433,38110
039XX N Keeler ave,17,38,1731,38111
025XX W 106TH ST,22,19,2211,38112
064XX W 59TH ST,8,23,811,38113
047XX N HARDING AVE,17,35,1723,38114
014XX W 117TH ST,5,34,524,38115
041XX S ARCHER AVE,9,15,921,38116
042XX S SACRAMENTO AVE,9,15,921,38117
059XX N KEATING AVE,17,39,1711,38118
006XX S PLYMOUTH CT,1,4,123,38119
010XX W 15TH ST,12,11,1232,38120
026XX E 127TH ST,4,10,433,38121
037XX W 59TH PL,8,23,822,38122
008XX W HARRISON ST,12,25,1232,38123
086XX S HALSTED ST,22,21,622,38124
004XX S WACKER DR,1,25,122,38125
010XX N KOLMAR AVE,11,37,1111,38126
003XX N LOTUS AVE,15,37,1523,38127
050XX S LOOMIS BLVD,9,20,933,38128
077XX S KEELER AVE,8,18,834,38129
030XX W MARQUETTE RD,8,17,831,38130
018XX W 50TH ST,9,20,931,38131
019XX W JACKSON BLVD,12,27,1225,38132
012XX W Van Buren St,12,2,1231,38133
051XX N CLARK ST,20,47,2033,38134
013XX W Loyola Ave,24,40,2432,38135
097XX S DORCHESTER AVE,5,8,511,38136
018XX S Michigan Ave,1,3,132,38137
016XX W Ogden Ave,12,2,1224,38138
025XX E 102ND ST,4,10,431,38139
057XX W CORCORAN PL,15,29,1512,38140
022XX S GROVE ST,9,11,914,38141
115XX S CHAMPLAIN AVE,5,9,532,38142
050XX W 47TH ST,8,22,814,38143
004XX S STATE ST,1,4,113,38144
029XX N Sawyer Ave,14,35,1412,38145
059XX N NASHOTAH AVE,16,41,1611,38146
065XX W PALATINE AVE,16,41,1611,38147
021XX N MAJOR AVE,25,36,2515,38148
031XX N Lake shore Dr,19,44,1934,38149
002XX E Pearson St,18,42,1833,38150
078XX S KILPATRICK AVE,8,13,834,38151
040XX N KEELER AVE,17,39,1722,38152
002XX E 95TH ST,5,9,511,38153
018XX N KILBOURN AVE,25,31,2533,38154
006XX W 68TH ST,7,6,723,38155
009XX E 111TH ST,5,9,531,38156
065XX S UNIVERSITY AVE,3,5,321,38157
007XX N Milwaukee Ave,12,27,1214,38158
021XX W Division St,12,32,1212,38159
033XX N Southport Ave,19,44,1924,38160
016XX S clinton st,12,25,1235,38161
077XX S MARYLAND AVE,6,8,624,38162
036XX N Clark St,19,44,1923,38163
058XX N LOUISE AVE,16,39,1621,38164
111XX S HALE AVE,22,19,2212,38165
007XX S CLAREMONT AVE,12,28,1225,38166
022XX N SHEFFIELD AVE,18,43,1811,38167
018XX W 87TH ST,6,21,614,38168
066XX S SACRAMENTO AVE,8,17,831,38169
027XX W LOGAN BLVD,14,32,1411,38170
022XX N Kilbourn ave,25,31,2522,38171
021XX N KOSTNER AVE,25,35,2522,38172
009XX N MICHIGAN AVE,18,2,1833,38173
013XX W 105TH ST,22,34,2232,38174
030XX W DIVERSEY AVE,14,33,1411,38175
024XX S SPAULDING AVE,10,12,1024,38176
002XX S Racine Ave,12,27,1231,38177
028XX W 45TH ST,9,15,922,38178
029XX N MC VICKER AVE,25,30,2511,38179
017XX W 49TH ST,9,15,931,38180
071XX W GREGORY ST,16,41,1613,38181
065XX S GREENWOOD AVE,3,5,321,38182
017XX W HASTINGS ST,12,28,1233,38183
103XX S OAKLEY AVE,22,19,2212,38184
039XX W Peterson Ave,17,39,1711,38185
011XX S HAMILTON AVE,12,27,1225,38186
019XX W 48TH ST,9,15,931,38187
009XX S Wood St,12,2,1231,38188
071XX S STEWART AVE,7,6,731,38189
029XX N California Ave,14,1,1411,38190
078XX W VICTORIA ST,16,41,1612,38191
097XX S LOWE AVE,22,34,2223,38192
012XX W Roscoe St,19,44,1924,38193
070XX S WESTERN AVE,5,17,832,38194
009XX W Lakeside Pl,19,46,1914,38195
067XX S PRAIRIE AVE,3,6,322,38196
071XX N SACRAMENTO AVE,24,50,2411,38197
030XX W LUIS MUNOZ MARIN DR N,14,26,1423,38198
007XX S LA SALLE ST,1,4,123,38199
012XX W OHIO ST,12,1,1215,38200
010XX W MARQUETTE RD,7,6,724,38201
069XX S ROCKWELL ST,8,17,831,38202
033XX W 52ND ST,8,14,822,38203
002XX S HONORE ST,12,2,1225,38204
073XX N ALBANY AVE,24,50,2411,38205
015XX W 51ST ST,9,20,933,38206
017XX N Lotus Ave,25,37,2532,38207
008XX W 50TH PL,9,20,933,38208
061XX W DICKENS AVE,25,29,2512,38209
073XX N OLCOTT AVE,16,41,1611,38210
051XX W KINZIE ST,15,37,1532,38211
052XX W HENDERSON ST,16,31,1634,38212
071XX W GRAND AVE,25,29,2512,38213
056XX N HERMITAGE AVE,20,40,2012,38214
011XX E 89TH ST,4,8,412,38215
046XX W PALMER ST,25,36,2522,38216
0000X E 95TH ST,5,9,511,38217
053XX S KEATING AVE,8,14,815,38218
026XX S LAKE SHORE DR NB,1,2,133,38219
015XX W KINZIE ST,12,27,1215,38220
087XX S BEVERLY AVE,22,19,2221,38221
048XX N Broadway,20,48,2033,38222
003XX S WASHTENAW AVE,11,27,1125,38223
057XX S TRUMBULL AVE,8,23,822,38224
045XX S LAMON AVE,8,22,814,38225
006XX N State ST,18,42,1834,38226
031XX N LINDER AVE,25,31,2514,38227
008XX N Michigan Ave,18,2,1833,38228
041XX N DRAKE AVE,17,35,1723,38229
052XX S LAFLIN ST,9,20,934,38230
036XX W ARGYLE ST,17,33,1712,38231
064XX W WABANSIA AVE,25,29,2513,38232
048XX S WESTERN AVE,9,14,922,38233
044XX W VAN BUREN ST,11,28,1131,38234
001XX S MORGAN ST,12,25,1232,38235
005XX W 48TH PL,9,3,935,38236
010XX W George St,19,44,1933,38237
014XX W FULLERTON AVE,18,2,1811,38238
014XX E 65TH ST,3,20,314,38239
014XX N KINGSBURY ST,18,27,1822,38240
055XX N NEWLAND AVE,16,41,1613,38241
021XX N MENARD AVE,25,36,2515,38242
004XX N OSWEGO ST,12,27,1215,38243
0000X W F4 ST,16,41,1652,38244
023XX N LOCKWOOD AVE,25,36,2515,38245
019XX N RACINE AVE,18,43,1811,38246
065XX S ROCKWELL ST,8,17,832,38247
136XX S TORRENCE AVE,4,10,434,38248
037XX N Bernard St,17,35,1732,38249
010XX W Altgeld St,19,43,1932,38250
037XX N Wilton Ave,19,44,1923,38251
029XX W Fullerton Ave,14,35,1414,38252
043XX S RICHMOND ST,9,15,922,38253
0000X S PEORIA ST,12,25,1232,38254
009XX E HYDE PARK BLVD,2,5,233,38255
046XX N LAWRENCE WILSON DR,19,46,1914,38256
017XX W 91ST ST,22,19,2221,38257
057XX W FILLMORE ST,15,29,1513,38258
127XX S AVENUE O,4,10,433,38259
0000X N WOOD ST,12,27,1224,38260
050XX S KEDZIE AVE,10,14,821,38261
097XX S GREEN ST,22,34,2223,38262
043XX W 79TH ST,8,18,834,38263
014XX N FAIRFIELD AVE,14,1,1423,38264
101XX S MAPLEWOOD AVE,22,19,2211,38265
016XX S MICHIGAN AVE,1,3,131,38266
037XX S HERMITAGE AVE,31,12,912,38267
011XX N HARDING AVE,11,37,1112,38268
087XX S PRAIRIE AVE,6,9,632,38269
022XX E 73RD ST,3,7,333,38270
007XX S WELLS ST,1,25,123,38271
058XX S NAGLE AVE,8,13,811,38272
009XX W Diversey Pkwy,19,43,1935,38273
032XX W 23RD ST,10,12,1024,38274
105XX S THROOP ST,22,34,2232,38275
037XX N HARLEM AVE,16,38,1632,38276
026XX N SACRAMENTO AVE,14,32,1411,38277
064XX N WAYNE AVE,24,49,2432,38278
016XX W North shore ave,24,49,2432,38279
049XX W Wrightwood Ave,25,31,2521,38280
001XX W 31ST ST,2,3,211,38281
028XX W 18TH DR,10,12,1022,38282
030XX N Clifton Ave,19,44,1933,38283
062XX S NEENAH AVE,8,23,812,38284
036XX N NEW ENGLAND AVE,16,38,1632,38285
067XX W WELLINGTON AVE,25,36,2511,38286
005XX N MARSHFIELD AVE,12,1,1215,38287
006XX S MICHIGAN AVE,1,42,123,38288
027XX N Lakewood Ave,19,32,1932,38289
028XX N Mildred Ave,19,44,1933,38290
035XX W 61ST ST,8,23,823,38291
075XX W HIGGINS AVE,16,41,1612,38292
117XX S COTTAGE GROVE AVE,5,9,532,38293
0000X S FRANKLIN ST,1,42,122,38294
008XX N STATE ST,18,2,1832,38295
037XX E 115TH ST,4,10,433,38296
012XX W 51ST ST,9,20,933,38297
008XX N Franklin St,18,27,1823,38298
109XX S LANGLEY AVE,5,9,513,38299
027XX W Francis pl,14,1,1431,38300
002XX E 38TH ST,2,3,212,38301
009XX W CARROLL AVE,12,27,1214,38302
001XX N OAKLEY BLVD,12,27,1223,38303
052XX N Broadway,20,48,2013,38304
015XX N Kingsbury St,18,32,1822,38305
035XX S HOYNE AVE,9,12,912,38306
053XX N Clark St,20,48,2013,38307
049XX S HONORE ST,9,15,931,38308
055XX S MARSHFIELD AVE,7,16,715,38309
082XX W BELMONT AVE,16,38,1631,38310
001XX W 84TH ST,6,21,622,38311
056XX S RICHMOND ST,8,16,824,38312
0000X W K10 10B ST,16,41,1653,38313
032XX S CALIFORNIA AVE,9,12,911,38314
022XX N LAVERGNE AVE,25,36,2522,38315
020XX W CHICAGO AVE,12,2,1212,38316
008XX S western ave,12,25,1225,38317
013XX W CARMEN AVE,20,47,2033,38318
018XX N Clark St,18,43,1814,38319
008XX W Randolph St,12,27,1224,38320
024XX W CHICAGO AVE,12,26,1212,38321
0000X N OAKLEY BLVD,12,27,1223,38322
018XX W HIGHLAND AVE,24,50,2413,38323
014XX W WEBSTER AVE,18,2,1811,38324
009XX N Winchester Ave,12,32,1212,38325
011XX N Lake Shore Dr,18,42,1824,38326
018XX W Grand Ave,12,26,1221,38327
065XX W SHAKESPEARE AVE,25,29,2512,38328
032XX N OPAL AVE,16,38,1631,38329
021XX N Bell Ave,14,32,1432,38330
008XX S COLUMBUS DR,1,4,114,38331
003XX E BALBO DR,1,2,114,38332
057XX S NATOMA AVE,8,13,811,38333
046XX S WASHTENAW AVE,9,15,922,38334
052XX N MANNHEIM RD,16,41,1654,38335
066XX S CENTRAL PARK AVE,8,13,833,38336
021XX W 50TH ST,9,15,931,38337
068XX N hiawatha ave,16,41,1621,38338
047XX S DAN RYAN XPRS IB,9,3,935,38339
005XX N Wells St,18,42,1831,38340
043XX S PAULINA ST,9,15,924,38341
027XX S VERNON AVE,1,4,133,38342
071XX W 63RD PL,8,23,812,38343
065XX W 62ND ST,8,23,812,38344
071XX N BELL AVE,24,50,2411,38345
036XX W 61ST PL,8,23,823,38346
072XX S KIMBARK AVE,3,8,324,38347
013XX N Damen Ave,14,1,1424,38348
002XX E BALBO DR,1,42,114,38349
041XX S ALBANY AVE,9,15,921,38350
075XX S UNION AVE,6,6,621,38351
013XX S LAKE SHORE DR E,1,4,132,38352
014XX N CLEAVER ST,14,2,1433,38353
0000X N Dearborn ST,1,42,112,38354
105XX S AVERS AVE,22,19,2211,38355
0000X W hubbard st,18,42,1831,38356
050XX S LAKE SHORE DR NB,2,5,222,38357
030XX E 83RD PL,4,7,424,38358
013XX W FULLERTON AVE,18,2,1811,38359
041XX W Irving Park RD,17,39,1732,38360
021XX W Belle Plaine Ave,19,47,1911,38361
088XX S Clyde Ave,4,8,412,38362
016XX W BERWYN AVE,24,40,2012,38363
012XX N LA SALLE DR,18,2,1821,38364
022XX W 116TH ST,22,19,2212,38365
004XX S WABASH AVE,1,42,113,38366
022XX W 59TH ST,8,16,824,38367
032XX N MONTICELLO AVE,17,30,1732,38368
040XX S ALBANY AVE,9,12,921,38369
012XX N CHERRY AVE,18,32,1822,38370
012XX N WELLS ST,18,2,1821,38371
032XX W GRAND AVE,11,27,1121,38372
025XX W CHICAGO AVE,12,26,1211,38373
025XX N LAKE SHORE DR NB,19,43,1935,38374
054XX S Everett Ave,2,5,234,38375
007XX E 88TH ST,6,8,632,38376
019XX S MARSHALL BLVD,10,12,1022,38377
008XX W Wrightwood Ave,19,43,1935,38378
0000X W H10 ST,16,41,1653,38379
037XX W 114TH ST,22,19,2211,38380
044XX W 62ND ST,8,13,813,38381
052XX S Ingleside Ave,2,4,233,38382
114XX S MILLARD AVE,22,19,2211,38383
021XX W HADDON AVE,12,2,1212,38384
039XX W ERIE ST,11,37,1122,38385
036XX W 113TH PL,22,19,2211,38386
024XX E 89TH ST,4,7,423,38387
018XX N RICHMOND ST,14,1,1421,38388
009XX S WESTERN AVE,12,28,1225,38389
015XX N CLEVELAND AVE,18,2,1821,38390
019XX S WESTERN AVE,10,28,1023,38391
019XX E 74TH ST,3,7,333,38392
039XX W HURON ST,11,37,1112,38393
060XX S NATCHEZ AVE,8,23,812,38394
067XX N CALDWELL AVE,16,41,1621,38395
019XX N KEDZIE AVE,14,1,1421,38396
050XX N DAMEN AVE,20,40,2032,38397
035XX E 110TH ST,4,10,433,38398
053XX W CORNELIA AVE,16,30,1634,38399
085XX S PAULINA ST,6,21,614,38400
015XX W Henderson St,19,44,1922,38401
067XX S BISHOP ST,7,16,725,38402
023XX E 77TH ST,4,7,414,38403
021XX N Dayton St,18,43,1812,38404
017XX S PRAIRIE AVE,1,3,132,38405
014XX S CLINTON ST,1,11,124,38406
085XX S SAWYER AVE,8,18,834,38407
096XX S TORRENCE AVE,4,7,431,38408
011XX E 71ST ST,3,5,324,38409
073XX S UNION AVE,7,6,732,38410
0000X E 26TH ST,1,3,133,38411
066XX W hayes ave,16,41,1611,38412
031XX N ORIOLE AVE,25,29,2511,38413
033XX N LAKE SHORE DR SB,19,44,1925,38414
024XX W WILCOX ST,11,2,1125,38415
029XX W PERSHING RD,9,12,921,38416
032XX W 71ST ST,8,17,831,38417
026XX S ROCKWELL ST,10,12,1034,38418
0000X E Washington St,1,42,111,38419
044XX S WASHTENAW AVE,9,15,922,38420
086XX S HALSTED ST,22,21,613,38421
023XX N MAJOR AVE,25,36,2515,38422
001XX S Wells St,1,2,122,38423
020XX W TAYLOR ST,12,2,1231,38424
068XX N OLMSTED AVE,16,41,1612,38425
012XX W Flournoy St,12,25,1231,38426
060XX W BELDEN AVE,25,37,2512,38427
062XX W JOYCE LN,16,38,1624,38428
040XX W VAN BUREN ST,11,28,1132,38429
039XX S KEDZIE AVE,9,12,921,38430
086XX S ROCKWELL ST,8,18,835,38431
046XX W CHICAGO AVE,11,28,1111,38432
044XX S CICERO AVE,8,22,815,38433
083XX S JEFFERY BLVD,4,8,412,38434
018XX W Newport Ave,19,32,1922,38435
028XX W Chicago Ave,12,26,1211,38436
052XX S lake park ave,2,4,234,38437
110XX S TORRENCE AVE,4,10,434,38438
017XX N KILBOURN AVE,25,31,2533,38439
063XX W 51ST ST,8,23,811,38440
036XX W 63RD ST,8,23,823,38441
105XX S CALIFORNIA AVE,22,19,2211,38442
069XX S ASHLAND AVE,7,16,734,38443
007XX S LAVERGNE AVE,15,29,1533,38444
0000X W CHICAGO AVE,18,2,1832,38445
033XX W FIFTH AVE,11,28,1134,38446
012XX S INDIANA AVE,1,3,132,38447
009XX S CLARK ST,1,4,123,38448
021XX N MEADE AVE,25,36,2512,38449
013XX S LAFLIN ST,12,2,1233,38450
040XX W 80TH PL,8,18,834,38451
061XX S CICERO AVE,8,13,813,38452
036XX W DICKENS AVE,25,35,2525,38453
027XX N Kenmore Ave,19,32,1935,38454
0000X E 8TH ST,1,4,123,38455
051XX S WOODLAWN AVE,2,5,233,38456
020XX N Kedzie Ave,14,35,1414,38457
083XX S SOUTH CHICAGO AVE,4,7,412,38458
006XX W 98TH ST,22,21,2223,38459
001XX W Illinois St,18,42,1831,38460
0000X W B1 ST,16,41,1651,38461
011XX S Canal st,1,2,124,38462
018XX W Barry AVE,19,32,1931,38463
049XX W MELROSE ST,16,31,1634,38464
018XX N DRAKE AVE,14,1,1422,38465
019XX N HUMBOLDT BLVD,14,1,1421,38466
035XX N LONG AVE,16,38,1634,38467
034XX W GLENLAKE AVE,17,50,1711,38468
020XX W Morse Ave,24,50,2411,38469
019XX S CANALPORT AVE,12,11,1235,38470
009XX N HARDING AVE,11,37,1112,38471
013XX W Hubbard St,12,27,1215,38472
018XX S DRAKE AVE,10,24,1024,38473
009XX N AVERS AVE,11,37,1112,38474
071XX N OLEANDER AVE,16,41,1611,38475
008XX W Lill Ave,19,43,1935,38476
067XX S Oglesby Ave,3,5,331,38477
064XX S LAMON AVE,8,13,813,38478
020XX W FERDINAND ST,12,27,1221,38479
053XX N LAKE SHORE DR SB,20,48,2023,38480
015XX W 41ST ST,9,11,924,38481
039XX S HONORE ST,9,12,924,38482
029XX S LA SALLE ST,9,11,914,38483
061XX N ELSTON AVE,16,39,1611,38484
054XX N PITTSBURGH AVE,16,41,1614,38485
035XX W PALMER ST,14,35,1413,38486
056XX S MAPLEWOOD AVE,8,15,824,38487
012XX W WASHBURNE AVE,12,25,1233,38488
068XX S JUSTINE ST,7,16,725,38489
072XX S CRANDON AVE,3,5,334,38490
011XX W Blackhawk St,18,32,1822,38491
0000X S FRANKLIN St,1,2,122,38492
005XX E 89TH ST,6,9,632,38493
017XX S WASHTENAW AVE,10,28,1023,38494
043XX W NORWOOD AVE,17,39,1711,38495
035XX S ARCHER AVE,9,12,912,38496
061XX S JUSTINE ST,7,16,713,38497
025XX W 101ST PL,22,19,2211,38498
015XX S CANAL ST,1,11,124,38499
043XX W 60TH ST,8,13,813,38500
063XX N LEOTI AVE,16,41,1621,38501
012XX E 53RD ST,2,5,234,38502
035XX W AINSLIE ST,17,33,1712,38503
026XX N MONTCLARE AVE,25,29,2512,38504
005XX W Fullerton Pkwy,19,43,1935,38505
045XX W GRAND AVE,25,36,2533,38506
067XX S PEORIA ST,7,6,723,38507
074XX S CLYDE AVE,3,7,333,38508
049XX S MARSHFIELD AVE,9,20,931,38509
020XX N HARLEM AVE,25,29,2512,38510
058XX S ARCHER AVE,8,14,814,38511
016XX W North Ave,14,2,1433,38512
039XX W GRAND AVE,25,26,2535,38513
018XX N SAYRE AVE,25,29,2513,38514
003XX E Cullerton St,1,2,132,38515
029XX E 83RD ST,4,10,423,38516
002XX E 133RD ST,5,9,533,38517
048XX N ST LOUIS AVE,17,33,1712,38518
010XX N HOOKER ST,18,27,1822,38519
029XX W 58TH ST,8,16,824,38520
018XX W Division st,12,1,1212,38521
001XX E LAKE SHORE DR,18,2,1824,38522
015XX W DIVISION ST,12,2,1213,38523
086XX S WINCHESTER AVE,6,21,614,38524
074XX S STEWART AVE,7,6,731,38525
023XX W ROOSEVELT RD,12,28,1225,38526
008XX S MILLER ST,12,11,1232,38527
008XX N CARPENTER ST,12,27,1213,38528
012XX S LAKE SHORE DR W,1,4,132,38529
052XX S GREENWOOD AVE,2,5,233,38530
043XX N MAJOR AVE,16,38,1624,38531
076XX W ROSEDALE AVE,16,41,1612,38532
002XX E CERMAK RD,1,3,132,38533
027XX N Seminary Ave,19,32,1935,38534
058XX N Ottawa Ave,16,41,1612,38535
043XX W PETERSON AVE,17,39,1711,38536
074XX S DANTE AVE,3,8,324,38537
017XX N VINE ST,18,43,1813,38538
019XX W 47TH ST,9,15,931,38539
009XX N Greenview Ave,12,27,1213,38540
114XX S GREEN BAY AVE,4,10,433,38541
014XX S Plymouth Ct,1,2,131,38542
001XX W Jackson Blvd,1,42,122,38543
048XX N Clark St,20,46,2032,38544
012XX W 35TH ST,9,11,912,38545
072XX W BYRON ST,16,38,1631,38546
004XX E 90TH ST,6,9,633,38547
047XX N AUSTIN AVE,16,38,1622,38548
001XX N CAMPBELL AVE,12,27,1222,38549
031XX W Montrose Ave,17,33,1724,38550
058XX W MELROSE ST,16,30,1633,38551
052XX W 55TH ST,8,23,813,38552
074XX S WOODLAWN AVE,3,5,324,38553
030XX N Sheridan Rd,19,44,1934,38554
064XX S WELLS ST,7,20,722,38555
046XX N CHESTER AVE,16,36,1614,38556
050XX W OHIO ST,15,37,1532,38557
021XX N SPRINGFIELD AVE,25,26,2525,38558
014XX N CLEVELAND AVE,18,2,1821,38559
077XX S LOWE AVE,6,6,621,38560
015XX W berwyn ave,20,40,2012,38561
032XX E 88TH ST,4,10,424,38562
033XX N Marshfield Ave,19,44,1922,38563
0000X N PEORIA ST,12,25,1224,38564
017XX N RICHMOND ST,14,1,1421,38565
002XX E 105TH ST,5,9,512,38566
012XX E MIDWAY PLAISANCE,2,5,235,38567
009XX S PARK TER,1,4,123,38568
0000X S WOOD ST,12,27,1224,38569
107XX S RACINE AVE,22,34,2234,38570
0000X W Washington St,1,42,111,38571
042XX W ARMITAGE AVE,25,35,2522,38572
018XX W 96TH ST,22,19,2213,38573
074XX S DORCHESTER AVE,3,8,324,38574
003XX E 51ST ST,2,3,223,38575
046XX W 72ND ST,8,13,833,38576
008XX N CLARK ST,18,2,1832,38577
004XX S HALSTED ST,12,25,1232,38578
0000X W PARKING LOT E SEC G ST,16,41,1654,38579
078XX S Loomis BLVD,6,17,612,38580
063XX S WASHTENAW AVE,8,17,825,38581
019XX W WABANSIA AVE,14,2,1434,38582
081XX S WOLCOTT AVE,6,17,614,38583
034XX W 60TH ST,8,23,823,38584
011XX N wood st,12,1,1212,38585
048XX N Kenmore Ave,20,46,2024,38586
030XX W LOGAN BLVD,14,32,1414,38587
040XX W SUNNYSIDE AVE,17,39,1722,38588
044XX W CULLOM AVE,17,39,1722,38589
022XX N LOWELL AVE,25,35,2522,38590
011XX W BELMONT AVE,19,33,1733,38591
015XX W 109TH PL,22,34,2234,38592
045XX S WHIPPLE ST,9,15,922,38593
023XX N LAKEWOOD AVE,18,43,1811,38594
034XX N NATCHEZ AVE,16,38,1632,38595
026XX W MADISON ST,12,27,1222,38596
025XX W 64TH ST,8,16,825,38597
021XX N LOCKWOOD AVE,25,36,2515,38598
055XX N Harlem Ave,16,41,1613,38599
044XX W LELAND AVE,17,39,1722,38600
002XX S Clark St,1,42,122,38601
026XX E 130TH ST,4,10,434,38602
016XX W Julian St,14,1,1433,38603
049XX W HARRISON ST,15,29,1533,38604
027XX S ASHLAND AVE,9,11,913,38605
006XX W JACKSON BLVD,1,42,121,38606
010XX S CENTRAL AVE,15,29,1522,38607
076XX S MARYLAND AVE,6,8,624,38608
051XX S LOOMIS BLVD,9,20,934,38609
060XX N Troy St,24,50,2413,38610
026XX N MC VICKER AVE,25,30,2512,38611
027XX W CERMAK RD,10,12,1023,38612
040XX W PALMER ST,25,35,2525,38613
101XX S BEVERLY AVE,22,34,2213,38614
073XX N ROCKWELL ST,24,50,2411,38615
0000X E Ohio St,18,42,1834,38616
007XX W 46TH ST,9,11,925,38617
036XX W CULLOM AVE,17,35,1723,38618
081XX S HERMITAGE AVE,6,21,614,38619
027XX E 99TH ST,4,10,431,38620
025XX W 100TH PL,22,19,2211,38621
010XX W MADISON ST,12,25,1232,38622
013XX S CLINTON ST,1,11,124,38623
0000X S LOWER WACKER DR,1,42,122,38624
014XX E 55th St,2,5,235,38625
008XX W 35th ST,9,11,915,38626
022XX N KENNEDY EXPY OB,14,32,1432,38627
061XX W WAVELAND AVE,16,36,1633,38628
023XX W ADAMS ST,12,27,1223,38629
059XX S NASHVILLE AVE,8,23,812,38630
023XX N HARLEM AVE,25,29,2512,38631
033XX W 64TH PL,8,23,823,38632
017XX S LA SALLE ST,9,25,914,38633
083XX S BOND AVE,4,7,424,38634
019XX W 29TH ST,9,25,912,38635
010XX W Addison St,19,44,1923,38636
066XX S WHIPPLE ST,8,17,831,38637
072XX S STONY ISLAND AVE,3,7,324,38638
0000X S DOOR 4 ST,8,13,813,38639
115XX S BISHOP FORD EXPY OB,5,9,532,38640
034XX N LAVERGNE AVE,16,31,1634,38641
005XX E 92ND ST,6,9,633,38642
060XX W BELMONT AVE,25,30,2511,38643
054XX W EDDY ST,16,36,1633,38644
071XX S PULASKI RD,8,18,833,38645
009XX W DIVISION ST,18,27,1822,38646
001XX W HURON ST,18,2,1832,38647
016XX W GARFIELD BLVD,7,16,715,38648
001XX N WESTERN AVE,12,27,1222,38649
025XX W GRENSHAW ST,11,28,1135,38650
031XX W 107TH ST,22,19,2211,38651
018XX W 61ST ST,7,15,714,38652
084XX W BELMONT AVE,16,36,1631,38653
043XX S MAPLEWOOD AVE,9,15,922,38654
080XX S NORMAL AVE,6,17,621,38655
005XX E 29TH ST,1,4,133,38656
075XX S BLACKSTONE AVE,4,8,411,38657
049XX N KENNEDY EXPY IB,16,45,1623,38658
013XX S MICHIGAN AVE,1,3,131,38659
038XX W 106TH ST,22,19,2211,38660
082XX S HONORE ST,6,17,614,38661
039XX W OHIO ST,11,37,1122,38662
073XX S DORCHESTER AVE,3,8,324,38663
035XX W MARQUETTE RD,8,18,831,38664
035XX N MAJOR AVE,16,38,1633,38665
008XX W VAN BUREN ST,12,25,1232,38666
054XX S Cornell Ave,2,5,234,38667
048XX W Berteau Ave,16,45,1624,38668
046XX W 42ND ST,8,14,815,38669
014XX W Foster Ave,20,48,2013,38670
038XX N AUSTIN AVE,16,38,1633,38671
028XX W FOSTER AVE,20,40,2031,38672
070XX W WELLINGTON AVE,25,36,2511,38673
021XX N NEWLAND AVE,25,36,2512,38674
014XX W ROOSEVELT RD,12,28,1233,38675
068XX W NORTH AVE,25,29,2513,38676
032XX S ASHLAND AVE,9,12,912,38677
007XX S HOLDEN CT,1,2,123,38678
080XX S KNOX AVE,8,18,834,38679
013XX E 73RD ST,3,8,324,38680
047XX S WESTERN AVE,9,15,922,38681
035XX W 59TH ST,8,23,822,38682
010XX N DAMEN AVE,12,2,1212,38683
061XX W BARRY AVE,25,30,2511,38684
068XX S ASHLAND AVE,7,16,725,38685
010XX W 52ND ST,9,20,934,38686
011XX S ASHLAND AVE,12,28,1231,38687
