Block,District,Ward,Beat,location_id
043XX W GLADYS AVE,11,28,1131,289
108XX S STATE ST,5,9,513,290
013XX S KARLOV AVE,10,24,1011,291
078XX S ESSEX AVE,4,7,421,292
052XX W MADISON ST,15,28,1522,293
022XX W BELMONT AVE,19,32,1921,294
040XX W CHICAGO AVE,11,37,1111,295
020XX W LE MOYNE ST,14,1,1424,296
106XX S BUFFALO AVE,4,10,432,297
014XX N WALLER AVE,25,29,2531,298
047XX N MARIA CT,16,36,1614,299
007XX S MICHIGAN AVE,1,2,123,300
031XX N RACINE AVE,19,44,1933,301
006XX N STATE ST,18,42,1832,302
079XX S HALSTED ST,6,17,621,303
008XX N CALIFORNIA AVE,12,26,1211,304
004XX E 133RD ST,5,9,533,305
080XX S STEWART AVE,6,17,623,306
067XX S NORMAL BLVD,7,6,722,307
078XX S OGLESBY AVE,4,7,414,308
003XX W HURON ST,18,42,1831,309
076XX S ESSEX AVE,4,7,421,310
041XX W HIRSCH ST,25,37,2534,311
073XX N BELL AVE,24,49,2411,312
046XX S ST LAWRENCE AVE,2,4,221,313
040XX W POLK ST,11,24,1132,314
007XX W FULTON MARKET,12,27,1214,315
036XX N CLARK ST,19,44,1923,316
001XX N WACKER DR,1,42,122,317
075XX S STATE ST,6,6,623,318
031XX N LONG AVE,25,30,2514,319
022XX W WILSON AVE,19,47,1911,320
035XX S ARTESIAN AVE,9,12,911,321
064XX S TROY ST,8,15,823,322
048XX W HURON ST,15,28,1531,323
012XX W 74TH ST,7,17,734,324
053XX W JACKSON BLVD,15,29,1522,325
0000X E ILLINOIS ST,18,42,1834,326
034XX W CARROLL AVE,11,28,1123,327
002XX N STATE ST,1,42,111,328
019XX N ST LOUIS AVE,14,26,1422,329
018XX W CHICAGO AVE,12,1,1221,330
011XX N FRONTIER AVE,18,27,1822,331
002XX S WABASH AVE,1,42,113,332
075XX S STEWART AVE,6,17,621,333
072XX S EAST END AVE,3,8,324,334
012XX W 48TH ST,9,3,933,335
050XX W ALTGELD ST,25,31,2521,336
050XX W FULLERTON AVE,25,31,2521,337
070XX S EBERHART AVE,3,6,322,338
062XX W 64TH PL,8,13,812,339
037XX W GRENSHAW ST,11,24,1133,340
091XX S LAFLIN ST,22,21,2221,341
038XX N ELSTON AVE,17,35,1732,342
101XX S CALIFORNIA AVE,22,19,2211,343
008XX N ORLEANS ST,18,27,1823,344
024XX S NORMAL AVE,9,25,914,345
074XX S MAY ST,7,17,733,346
050XX S INDIANA AVE,2,3,224,347
037XX W POLK ST,11,24,1133,348
028XX W HARRISON ST,11,2,1135,349
012XX W MADISON ST,12,27,1224,350
067XX N GLENWOOD AVE,24,40,2432,351
027XX W NORTH AVE,14,1,1421,352
019XX W NORTH AVE,14,32,1434,353
062XX S WHIPPLE ST,8,15,823,354
004XX N STATE ST,18,42,1831,355
007XX S INDEPENDENCE BLVD,11,24,1133,356
006XX N FRANKLIN ST,18,42,1831,357
094XX S EWING AVE,4,10,432,358
017XX W NORTH SHORE AVE,24,49,2432,359
114XX S HALSTED ST,22,34,2233,360
004XX N CLARK ST,18,42,1831,361
012XX S KOLIN AVE,10,24,1011,362
011XX E 42ND PL,2,4,214,363
008XX E 89TH PL,6,8,633,364
085XX S CRANDON AVE,4,8,412,365
0000X W ILLINOIS ST,18,42,1831,366
005XX W OAKDALE AVE,19,44,1934,367
051XX W CHICAGO AVE,15,37,1531,368
001XX W CONGRESS PKWY,1,2,123,369
058XX S SANGAMON ST,7,16,712,370
005XX W FULLERTON PKWY,19,43,1935,371
120XX S NORMAL AVE,5,34,523,372
036XX W AUGUSTA BLVD,11,27,1112,373
033XX S ARCHER AVE,9,11,912,374
038XX W POLK ST,11,24,1133,375
001XX W DIVISION ST,18,42,1824,376
003XX E ILLINOIS ST,18,42,1834,377
067XX S DAMEN AVE,7,15,726,378
0000X W SUPERIOR ST,18,42,1832,379
032XX W WASHINGTON BLVD,11,28,1123,380
008XX W VAN BUREN ST,12,2,1232,381
001XX E WACKER DR,1,42,114,382
012XX S KEDVALE AVE,10,24,1011,383
027XX N PINE GROVE AVE,19,43,1935,384
001XX E PEARSON ST,18,42,1833,385
030XX W CULLERTON ST,10,24,1022,386
020XX N WESTERN AVE,14,32,1432,387
006XX S KOSTNER AVE,11,24,1131,388
046XX N ASHLAND AVE,19,47,1912,389
066XX S TROY ST,8,15,831,390
047XX N WINTHROP AVE,19,46,1914,391
012XX N ARTESIAN AVE,14,26,1423,392
071XX S CYRIL AVE,3,5,333,393
024XX E 78TH ST,4,7,421,394
028XX W PALMER ST,14,35,1414,395
064XX W TOUHY AVE,16,41,1621,396
048XX W MADISON ST,15,28,1533,397
085XX S MARQUETTE AVE,4,7,423,398
020XX W 21ST ST,12,25,1234,399
045XX N KILDARE AVE,17,45,1722,400
004XX E 48TH ST,2,3,223,401
106XX S YATES AVE,4,10,434,402
002XX W 38TH PL,9,3,915,403
018XX S AVERS AVE,10,24,1014,404
003XX E 136TH ST,5,9,533,405
040XX W 115TH ST,22,19,2211,406
039XX W MONTROSE AVE,17,39,1723,407
013XX N CLEAVER ST,14,1,1433,408
011XX E 82ND ST,4,8,411,409
033XX W 64TH ST,8,15,823,410
018XX N KEYSTONE AVE,25,30,2534,411
053XX N CHESTER AVE,16,41,1614,412
050XX S DR MARTIN LUTHER KING JR DR,2,3,223,413
012XX W WILSON AVE,19,46,1913,414
068XX S WINCHESTER AVE,7,17,726,415
049XX S LAFLIN ST,9,20,933,416
001XX N LATROBE AVE,15,28,1523,417
005XX S FRANKLIN ST,1,2,123,418
008XX W 59TH ST,7,16,712,419
038XX S VINCENNES AVE,2,4,212,420
050XX S MAPLEWOOD AVE,9,14,923,421
035XX W FIFTH AVE,11,28,1133,422
049XX N RIDGEWAY AVE,17,39,1712,423
051XX S MC VICKER AVE,8,23,811,424
007XX W 47TH ST,9,11,925,425
017XX N LOCKWOOD AVE,25,37,2532,426
083XX S DREXEL AVE,6,8,632,427
0000X E CHICAGO AVE,18,42,1833,428
049XX W FOSTER AVE,16,45,1623,429
054XX S KEDZIE AVE,9,14,923,430
032XX W SUNNYSIDE AVE,17,33,1724,431
054XX S WINCHESTER AVE,9,16,932,432
005XX N LOCKWOOD AVE,15,37,1523,433
006XX N LOCKWOOD AVE,15,28,1524,434
063XX S CALIFORNIA AVE,8,15,825,435
031XX S CANAL ST,9,11,915,436
0000X W TERMINAL ST,16,41,1651,437
053XX N BROADWAY,20,48,2023,438
044XX S WABASH AVE,2,3,215,439
009XX N KEELER AVE,11,37,1111,440
